antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'SpendingScore', 'Income', 'Height'})","frozenset({'Age', 'Weight'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'SpendingScore', 'Income'})","frozenset({'Weight', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'Weight', 'Height'})","frozenset({'SpendingScore', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Weight', 'SpendingScore', 'Height'})","frozenset({'Age', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'Weight', 'SpendingScore'})","frozenset({'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'SpendingScore', 'Height'})","frozenset({'Weight', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Weight', 'Income'})","frozenset({'Age', 'SpendingScore', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Income', 'Height'})","frozenset({'Age', 'Weight', 'SpendingScore'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'Income'})","frozenset({'Weight', 'SpendingScore', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'SpendingScore', 'Income'})","frozenset({'Age', 'Weight', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Weight', 'Height'})","frozenset({'Age', 'SpendingScore', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'Weight'})","frozenset({'SpendingScore', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Weight', 'SpendingScore'})","frozenset({'Age', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'Height'})","frozenset({'SpendingScore', 'Weight', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'SpendingScore', 'Height'})","frozenset({'Age', 'Weight', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'Age', 'SpendingScore'})","frozenset({'Weight', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Income'}),"frozenset({'Age', 'Weight', 'SpendingScore', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Weight'}),"frozenset({'Age', 'SpendingScore', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Height'}),"frozenset({'Age', 'SpendingScore', 'Weight', 'Income'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'Age'}),"frozenset({'SpendingScore', 'Weight', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'SpendingScore'}),"frozenset({'Age', 'Weight', 'Income', 'Height'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
